filename,1_mo,3_mos,ytd,1_yr,3_yrs,5_yrs,10_yrs
fs-all-ordinaries-gold-sub-industry (2).pdf,10.99%,30.46%,10.99%,118.68%,50.62%,26.31%,24.52%
fs-sp-asx-200 (2).pdf,1.78%,0.36%,1.78%,7.37%,9.81%,10.21%,10.12%
fs-sp-asx-200-a-reit-sector (2).pdf,-2.66%,-4.58%,-2.66%,1.61%,11.08%,9.16%,7.51%
fs-sp-asx-200-communication-services-sector (2).pdf,-1.78%,-7.02%,-1.78%,6.01%,8.43%,9.19%,2.37%
fs-sp-asx-200-consumer-discretionary-sector (2).pdf,-0.6%,-5.79%,-0.6%,-3.42%,12.59%,8.19%,10.61%
fs-sp-asx-200-consumer-staples-sector (2).pdf,1.63%,0.43%,1.63%,2.96%,-0.65%,1.33%,6.34%
fs-sp-asx-200-energy-sector (3).pdf,10.62%,7.93%,10.62%,10.85%,0.27%,8.6%,6.6%
fs-sp-asx-200-financial-x-a-reit-sector (2).pdf,-1.43%,-4.72%,-1.43%,4.08%,15.86%,15.36%,9.52%
fs-sp-asx-200-health-care-sector (2).pdf,2.25%,-3.17%,2.25%,-24.37%,-5.73%,-2.07%,7.59%
fs-sp-asx-200-industrial (2).pdf,-0.99%,-4.88%,-0.99%,-1.82%,9.89%,9%,8.37%
fs-sp-asx-200-information-technology-sector (2).pdf,-9.43%,-26.86%,-9.43%,-31.12%,10.16%,-1.82%,11.19%
fs-sp-asx-200-materials-sector (2).pdf,9.49%,18.58%,9.49%,43.38%,11.14%,14.22%,19.03%
fs-sp-asx-200-utilities-sector (2).pdf,0.63%,-2.49%,0.63%,16.73%,12.48%,14.55%,8.87%
fs-sp-asx-emerging-companies-index (2).pdf,3.03%,12.06%,3.03%,43.01%,15.59%,12.15%,14.04%
fs-sp-asx-midcap-50 (2).pdf,1.01%,0.07%,1.01%,13.24%,10.96%,10.73%,12.47%
fs-sp-asx-small-ordinaries (1).pdf,2.74%,2.65%,2.74%,22.76%,12.08%,7.49%,9.51%
